Tarih,Platform,İşlem Türü,Açıklama,Gelir (€),Gider (€),Ödeme Yöntemi,Belge No,Durum,Notlar
2025-12-17,Vinted,Gelir,Puma Laufshirt L,10.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-17,Vinted,Gelir,Tommy Jeans Blouson XL,20.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-17,Vinted,Gelir,Casio World Time Uhr,19.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-17,Vinted,Transfer,Bankaya Transfer (2/3),0.00,50.00,Deutsche Bank,,Tamamlandı,
2025-12-19,Vinted,Gelir,ASOS Plissee Kleid 38 M,15.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-19,Vinted,Gelir,Icepeak Skijacke 54 XL,20.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-20,Vinted,Gelir,Adidas Stan Smith 39½,25.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-20,Vinted,Gelir,ASOS Chiffon Kleid S,12.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-21,Vinted,Gider,Herren Jacke Kunstfell,0.00,19.40,Vinted Bakiye,,Tamamlandı,Stok
2025-12-21,Vinted,Transfer,Bankaya Transfer (3/3),0.00,50.00,Deutsche Bank,,Tamamlandı,
2025-12-05,eBay,Gelir,Huawei P20 Lite Satış,90.00,0.00,eBay Balance,20-13914-82367,İade Sürecinde,90€ bloke
2025-12-05,eBay,Gider,İlan Ücreti,0.00,13.92,eBay Balance,20-13914-82367,Tamamlandı,Platform ücreti
2025-12-05,eBay,Gider,Kargo Ücreti (Hermes),0.00,5.49,eBay Balance,20-13914-82367,Tamamlandı,Platform ücreti
2025-12-31,Kleinanzeigen,Gelir,PayPal Satış (brille),25.00,0.00,PayPal,075977350V6436350,Tamamlandı,Manuela Schmitt
2025-11-22,Deutsche Bank,Gider,IONOS Web Hosting,0.00,1.00,Deutsche Bank Card Plus,,Tamamlandı,İş gideri
2025-12-15,Deutsche Bank,Gider,Amazon İş Alımları,0.00,24.91,Deutsche Bank Card Plus,,Tamamlandı,İş gideri (varsayım)
2025-12-01,Deutsche Bank,Gider,AliExpress Benzeri (IYZICO),0.00,5.10,Deutsche Bank Card Plus,,Tamamlandı,İş gideri
,,,TOPLAM GELİR,513.50,0.00,,,,
,,,TOPLAM GİDER,0.00,444.71,,,,
,,,NET KÂR,68.79,0.00,,,,
,,,MEVCUT NAKİT,120.91,0.00,,,Vinted: 6.20€ + Bekleyen: 82.00€ + PayPal: 25.00€ + DB: 7.71€

