Tarih,Platform,İşlem Türü,Açıklama,Gelir (€),Gider (€),Ödeme Yöntemi,Belge No,Durum,Notlar
2025-12-17,Vinted,Gelir,Puma Laufshirt L,10.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-17,Vinted,Gelir,Tommy Jeans Blouson XL,20.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-17,Vinted,Gelir,Casio World Time Uhr,19.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-17,Vinted,Transfer,Bankaya Transfer (2/3),0.00,50.00,Deutsche Bank,,Tamamlandı,
2025-12-19,Vinted,Gelir,ASOS Plissee Kleid 38 M,15.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-19,Vinted,Gelir,Icepeak Skijacke 54 XL,20.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-20,Vinted,Gelir,Adidas Stan Smith 39½,25.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-20,Vinted,Gelir,ASOS Chiffon Kleid S,12.00,0.00,Vinted Bakiye,,Tamamlandı,
2025-12-21,Vinted,Gider,Herren Jacke Kunstfell,0.00,19.40,Vinted Bakiye,,Tamamlandı,Stok
2025-12-21,Vinted,Transfer,Bankaya Transfer (3/3),0.00,50.00,Deutsche Bank,,Tamamlandı,
2025-12-05,eBay,Gelir,Huawei P20 Lite Satış,90.00,0.00,eBay Balance,20-13914-82367,İade Sürecinde,90€ bloke
2025-12-05,eBay,Gider,İlan Ücreti,0.00,13.92,eBay Balance,20-13914-82367,Tamamlandı,Platform ücreti
2025-12-05,eBay,Gider,Kargo Ücreti (Hermes),0.00,5.49,eBay Balance,20-13914-82367,Tamamlandı,Platform ücreti
2025-12-31,Kleinanzeigen,Gelir,PayPal Satış (brille),25.00,0.00,PayPal,075977350V6436350,Tamamlandı,Manuela Schmitt
2025-11-22,Deutsche Bank,Gider,IONOS Web Hosting,0.00,1.00,Deutsche Bank Card Plus,,Tamamlandı,İş gideri
2025-12-15,Deutsche Bank,Gider,Amazon İş Alımları,0.00,24.91,Deutsche Bank Card Plus,,Tamamlandı,İş gideri (varsayım)
2025-12-01,Deutsche Bank,Gider,AliExpress Benzeri (IYZICO),0.00,5.10,Deutsche Bank Card Plus,,Tamamlandı,İş gideri
2025-10-09,Klarna,Gider,eBay/Vinted Gebündelte Alım (4 alım),0.00,113.70,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-11-27,Klarna,Gider,eBay Telefon Parçaları (Taksit 4/12),0.00,50.06,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-11-26,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 4/12),0.00,30.24,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-11-10,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 1/6),0.00,10.15,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-11,Klarna,Gider,eBay Gebündelte Alım (3 alım),0.00,340.24,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-11,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 1/12),0.00,21.57,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-11,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 1/6),0.00,12.89,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-09,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 2/6),0.00,10.15,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-09,Klarna,Gider,Vinted Mal Alımı,0.00,14.74,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-05,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 2/6),0.00,9.39,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-05,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 2/12),0.00,18.07,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-12-01,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 3/6),0.00,10.15,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-10-10,Klarna,Gider,Vinted Mal Alımı (30 Tage),0.00,14.74,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-10-10,Klarna,Gider,Vinted Mal Alımı (30 Tage),0.00,21.24,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-10-03,Klarna,Gider,AliExpress Telefon Aksesuarları (Taksit 1/6),0.00,58.69,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
2025-09-23,Klarna,Gider,AliExpress Mal Alımı (30 Tage),0.00,10.96,Klarna Taksit,,Tamamlandı,Mal alımı - Satış için
,,,TOPLAM GELİR,513.50,0.00,,,,
,,,TOPLAM GİDER,0.00,1125.41,,,,
,,,NET KÂR,-611.91,0.00,,,Başlangıç yatırımı - Normal
,,,MEVCUT NAKİT,120.91,0.00,,,Vinted: 6.20€ + Bekleyen: 82.00€ + PayPal: 25.00€ + DB: 7.71€
,,,KLARNA KALAN BORÇ,93.76,0.00,,,Ocak 2026 bekleyen (iş ile ilgili)

